reviewId,content,score,gender,location,date,Unnamed: 6,Unnamed: 7,tokens,text_final,label
fdc39f6a-6cf5-4f8c-ad5d-db7525495d5e,"Decent so far, but what's really unfortunate is that I can't verify myself because the in-app camera (specifically when trying to verify) seems to capture nothing but blurry pictures. Any other instances, and the camera works fine. It's also worth noting, the camera focuses perfectly fine when in the verification, but despite never being out of focus, the picture always comes out blurry.",3.0,male,"Montreal, Canada",2020-01-02,,,"['decent', 'unfortunate', 'not_verify', 'camera', 'try', 'verify', 'capture', 'blurry', 'picture', 'instance', 'camera', 'work_fine', 'worth', 'note', 'camera', 'focus', 'fine', 'verification', 'focus', 'picture', 'come', 'blurry']",decent unfortunate not_verify camera try verify capture blurry picture instance camera work_fine worth note camera focus fine verification focus picture come blurry,neutral
08637073-bc39-4ff1-9aea-500de488493d,meh,3.0,female,"Santiago, Chile",2020-05-22,,,['meh'],meh,neutral
541ae215-4636-4fa5-83b6-fe3243e161ce,"After a week, they only suggests morbidly obese people.",3.0,male,"Boston, United States",2020-02-07,,,"['week', 'suggest', 'obese', 'people']",week suggest obese people,neutral
82eb2322-a92a-4da5-9daa-7fd9c7847b97,to many fake accounts,3.0,female,"Montevideo, Uruguay",2020-10-18,,,"['fake', 'account']",fake account,neutral
62fb805d-edd0-4f59-b39f-4631b17f3fef,I really enjoy the app so far. The algorithm got my likes pretty quickly and has given me good matches and a few dates.,3.0,male,"Bangalore, India",2018-09-17,,,"['enjoy', 'algorithm', 'like', 'give', 'match', 'date']",enjoy algorithm like give match date,neutral
78102d26-a250-4371-895b-10de28c154f9,It's ok ok type,3.0,female,"Adelaide, Australia",2020-12-29,,,['type'],type,neutral
e60552d9-6429-4b0d-a311-8e57521698c3,Verification not working. Constantly having to reverify and now it won't take anymore. I've tried it 10-15 times in 3-4 different lightings and angles now,3.0,male,"Seoul, South Korea",2018-03-19,,,"['verification', 'not_work', 'have', 'reverify', 'not_take', 'try', 'time', 'different', 'lighting', 'angle']",verification not_work have reverify not_take try time different lighting angle,neutral
46ae3892-aed3-4e0d-b141-e0293afaf32d,"I didn't have a bad experience, the layout was a bit weird and different. I don't do subscriptions.",3.0,male,"Cancun, Mexico",2019-06-07,,,"['experience', 'layout', 'bit', 'weird', 'different', 'subscription']",experience layout bit weird different subscription,neutral
602481c5-4ba1-4dff-9ea4-366478f4e3e1,App opens sometimes,3.0,male,"Cape Town, South Africa",2018-10-21,,,['open'],open,neutral
32c7c24e-2bf7-4699-8190-a71e012241b2,"Not really happy with no age filter. I am 38 and all the men was 34 maximum, so after few days of swapping I deleted my profile",3.0,male,"Accra, Ghana",2018-10-27,,,"['happy', 'age', 'filter', 'man', 'maximum', 'day', 'swap', 'delete', 'profile']",happy age filter man maximum day swap delete profile,neutral
