app,month,n,avg_score,pct_negative
Boo,1,660,3.691,18.64
Boo,2,515,3.889,15.92
Boo,3,479,4.061,12.53
Boo,4,509,4.055,12.18
Boo,5,798,4.378,5.51
Boo,6,945,4.306,6.24
Boo,7,1035,4.115,9.95
Boo,8,959,4.089,11.26
Boo,9,1038,4.116,10.21
Boo,10,1019,4.115,10.79
Boo,11,1015,4.124,9.75
Boo,12,1025,4.069,11.51
Hinge,1,741,1.985,72.6
Hinge,2,698,1.854,76.93
Hinge,3,852,1.93,73.83
Hinge,4,834,1.86,74.7
Hinge,5,865,1.953,71.33
Hinge,6,904,2.018,71.24
Hinge,7,863,1.918,75.78
Hinge,8,854,1.872,77.05
Hinge,9,852,2.013,71.01
Hinge,10,858,1.896,75.17
Hinge,11,832,1.913,74.52
Hinge,12,834,1.923,74.34
