app,sentiment,word,freq,n_reviews_in_segment,freq_per_review
Boo,negative,don,93,1074,0.0866
Boo,negative,good,93,1074,0.0866
Boo,negative,dating,88,1074,0.0819
Boo,negative,pay,87,1074,0.081
Boo,negative,money,82,1074,0.0764
Boo,negative,matches,73,1074,0.068
Boo,negative,fake,72,1074,0.067
Boo,negative,time,67,1074,0.0624
Boo,negative,subscription,61,1074,0.0568
Boo,negative,far,61,1074,0.0568
Boo,negative,profiles,59,1074,0.0549
Boo,negative,profile,58,1074,0.054
Boo,negative,match,52,1074,0.0484
Boo,negative,bots,51,1074,0.0475
Boo,negative,experience,51,1074,0.0475
Boo,negative,account,50,1074,0.0466
Boo,negative,personality,50,1074,0.0466
Boo,negative,them,49,1074,0.0456
Boo,negative,makes,49,1074,0.0456
Boo,negative,bad,47,1074,0.0438
Boo,negative,waste,43,1074,0.04
Boo,negative,feel,43,1074,0.04
Boo,negative,less,39,1074,0.0363
Boo,negative,free,38,1074,0.0354
Boo,negative,trying,38,1074,0.0354
Boo,negative,got,37,1074,0.0345
Boo,negative,away,37,1074,0.0345
Boo,negative,scam,36,1074,0.0335
Boo,negative,using,35,1074,0.0326
Boo,negative,great,34,1074,0.0317
Boo,neutral,good,296,1381,0.2143
Boo,neutral,far,186,1381,0.1347
Boo,neutral,nice,88,1381,0.0637
Boo,neutral,yet,81,1381,0.0587
Boo,neutral,seems,77,1381,0.0558
Boo,neutral,don,65,1381,0.0471
Boo,neutral,bad,60,1381,0.0434
Boo,neutral,dating,56,1381,0.0406
Boo,neutral,pretty,52,1381,0.0377
Boo,neutral,started,47,1381,0.034
Boo,neutral,matches,44,1381,0.0319
Boo,neutral,using,44,1381,0.0319
Boo,neutral,better,43,1381,0.0311
Boo,neutral,haven,42,1381,0.0304
Boo,neutral,sure,40,1381,0.029
Boo,neutral,pay,40,1381,0.029
Boo,neutral,lot,39,1381,0.0282
Boo,neutral,okay,39,1381,0.0282
Boo,neutral,alright,35,1381,0.0253
Boo,neutral,decent,35,1381,0.0253
Boo,neutral,free,35,1381,0.0253
Boo,neutral,time,33,1381,0.0239
Boo,neutral,great,33,1381,0.0239
Boo,neutral,know,32,1381,0.0232
Boo,neutral,match,31,1381,0.0224
Boo,neutral,think,31,1381,0.0224
Boo,neutral,rate,30,1381,0.0217
Boo,neutral,here,30,1381,0.0217
Boo,neutral,getting,28,1381,0.0203
Boo,neutral,cool,28,1381,0.0203
Boo,positive,good,2353,7542,0.312
Boo,positive,far,848,7542,0.1124
Boo,positive,nice,823,7542,0.1091
Boo,positive,great,565,7542,0.0749
Boo,positive,dating,405,7542,0.0537
Boo,positive,love,278,7542,0.0369
Boo,positive,best,268,7542,0.0355
Boo,positive,cool,239,7542,0.0317
Boo,positive,easy,222,7542,0.0294
Boo,positive,pretty,219,7542,0.029
Boo,positive,personality,215,7542,0.0285
Boo,positive,fun,208,7542,0.0276
Boo,positive,seems,200,7542,0.0265
Boo,positive,better,191,7542,0.0253
Boo,positive,friends,178,7542,0.0236
Boo,positive,experience,175,7542,0.0232
Boo,positive,amazing,156,7542,0.0207
Boo,positive,interesting,154,7542,0.0204
Boo,positive,find,152,7542,0.0202
Boo,positive,awesome,145,7542,0.0192
Boo,positive,meet,125,7542,0.0166
Boo,positive,free,117,7542,0.0155
Boo,positive,using,112,7542,0.0149
Boo,positive,different,110,7542,0.0146
Boo,positive,matches,110,7542,0.0146
Boo,positive,here,109,7542,0.0145
Boo,positive,time,108,7542,0.0143
Boo,positive,don,108,7542,0.0143
Boo,positive,well,108,7542,0.0143
Boo,positive,yet,107,7542,0.0142
Hinge,negative,don,1035,7390,0.1401
Hinge,negative,banned,934,7390,0.1264
Hinge,negative,dating,907,7390,0.1227
Hinge,negative,pay,906,7390,0.1226
Hinge,negative,account,817,7390,0.1106
Hinge,negative,time,812,7390,0.1099
Hinge,negative,matches,786,7390,0.1064
Hinge,negative,profiles,746,7390,0.1009
Hinge,negative,money,722,7390,0.0977
Hinge,negative,likes,722,7390,0.0977
Hinge,negative,profile,688,7390,0.0931
Hinge,negative,reason,556,7390,0.0752
Hinge,negative,match,540,7390,0.0731
Hinge,negative,fake,529,7390,0.0716
Hinge,negative,got,504,7390,0.0682
Hinge,negative,them,485,7390,0.0656
Hinge,negative,why,468,7390,0.0633
Hinge,negative,deleted,466,7390,0.0631
Hinge,negative,waste,461,7390,0.0624
Hinge,negative,want,404,7390,0.0547
Hinge,negative,good,399,7390,0.054
Hinge,negative,doesn,370,7390,0.0501
Hinge,negative,messages,369,7390,0.0499
Hinge,negative,subscription,367,7390,0.0497
Hinge,negative,someone,358,7390,0.0484
Hinge,negative,back,356,7390,0.0482
Hinge,negative,nothing,354,7390,0.0479
Hinge,negative,women,345,7390,0.0467
Hinge,negative,free,324,7390,0.0438
Hinge,negative,used,321,7390,0.0434
Hinge,neutral,dating,150,876,0.1712
Hinge,neutral,good,113,876,0.129
Hinge,neutral,pay,99,876,0.113
Hinge,neutral,likes,96,876,0.1096
Hinge,neutral,don,95,876,0.1084
Hinge,neutral,matches,94,876,0.1073
Hinge,neutral,better,86,876,0.0982
Hinge,neutral,profiles,81,876,0.0925
Hinge,neutral,them,67,876,0.0765
Hinge,neutral,free,62,876,0.0708
Hinge,neutral,profile,60,876,0.0685
Hinge,neutral,time,58,876,0.0662
Hinge,neutral,great,51,876,0.0582
Hinge,neutral,messages,50,876,0.0571
Hinge,neutral,match,48,876,0.0548
Hinge,neutral,though,46,876,0.0525
Hinge,neutral,want,46,876,0.0525
